,country,doses
0,Argentina,47000000.0
1,Australia,114800000.0
2,Bangladesh,30000000.0
3,Brazil,196000000.0
4,COVAX,1370000000.0
5,Canada,342000000.0
6,Chile,88400000.0
7,China,100000000.0
8,Colombia,20000000.0
9,Costa Rica,4000075.0
10,EU,1585000000.0
11,Ecuador,9000000.0
12,Egypt,55000000.0
13,El Salvador,2000000.0
14,Hong Kong,17500000.0
15,India,1800000000.0
16,Indonesia,335500000.0
17,Iraq,1500000.0
18,Israel,18000000.0
19,Japan,290000000.0
20,Kazakhstan,2000000.0
21,Kuwait,1000000.0
22,Latin America w/o Brazil,150000000.0
23,Lebanon,2000000.0
24,Malaysia,19200000.0
25,Mexico,143800000.0
26,Morocco,10000000.0
27,Nepal,25000000.0
28,New Zealand,21800000.0
29,Panama,4000000.0
30,Peru,9900000.0
31,Philippines,2600000.0
32,Qatar,0.0
33,Saudi Arabia,0.0
34,Singapore,0.0
35,South Korea,64000000.0
36,Switzerland,10500000.0
37,Thailand,26000000.0
38,Turkey,50000000.0
39,UK,357000000.0
40,USA,1210000000.0
41,Uzbekistan,35000000.0
42,Venezuela,10000000.0
43,Vietnam,0.0
